oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Muzea|muzea łącznie z oddziałami
355,061813664000,Tarnobrzeg,85.0,2009,1864,miasto na prawach powiatu,18,podkarpackie,0.0
303,062013711000,sokólski,2055.0,2009,2011,powiat,20,podlaskie,1.0
305,062013803000,bielski,1385.0,2009,2003,powiat,20,podlaskie,2.0
306,062013805000,hajnowski,1624.0,2009,2005,powiat,20,podlaskie,1.0
307,062013806000,kolneński,940.0,2009,2006,powiat,20,podlaskie,0.0
38,062013807000,łomżyński,1355.0,2009,2007,powiat,20,podlaskie,2.0
308,062013810000,siemiatycki,1459.0,2009,2010,powiat,20,podlaskie,2.0
309,062013813000,wysokomazowiecki,1289.0,2009,2013,powiat,20,podlaskie,1.0
310,062013814000,zambrowski,733.0,2009,2014,powiat,20,podlaskie,0.0
39,062013862000,Łomża,33.0,2009,2062,miasto na prawach powiatu,20,podlaskie,1.0
311,062013901000,augustowski,1659.0,2009,2001,powiat,20,podlaskie,1.0
312,062013904000,grajewski,968.0,2009,2004,powiat,20,podlaskie,0.0
313,062013908000,moniecki,1382.0,2009,2008,powiat,20,podlaskie,0.0
314,062013909000,sejneński,855.0,2009,2009,powiat,20,podlaskie,1.0
37,071422730000,szydłowiecki,452.0,2009,1430,powiat,14,mazowieckie,3.0
315,062013912000,suwalski,1307.0,2009,2012,powiat,20,podlaskie,0.0
357,071427164000,Siedlce,32.0,2009,1464,miasto na prawach powiatu,14,mazowieckie,2.0
317,071412912000,miński,1164.0,2009,1412,powiat,14,mazowieckie,2.0
40,071427306000,grójecki,1268.0,2009,1406,powiat,14,mazowieckie,2.0
318,071412917000,otwocki,616.0,2009,1417,powiat,14,mazowieckie,2.0
319,071412934000,wołomiński,954.0,2009,1434,powiat,14,mazowieckie,2.0
320,071413005000,grodziski,367.0,2009,1405,powiat,14,mazowieckie,1.0
321,071413014000,nowodworski,695.0,2009,1414,powiat,14,mazowieckie,1.0
322,071413018000,piaseczyński,621.0,2009,1418,powiat,14,mazowieckie,1.0
323,071413021000,pruszkowski,246.0,2009,1421,powiat,14,mazowieckie,1.0
324,071413032000,warszawski zachodni,534.0,2009,1432,powiat,14,mazowieckie,1.0
325,071422502000,ciechanowski,1060.0,2009,1402,powiat,14,mazowieckie,3.0
326,071422513000,mławski,1182.0,2009,1413,powiat,14,mazowieckie,1.0
327,071422520000,płoński,1380.0,2009,1420,powiat,14,mazowieckie,0.0
328,071422524000,pułtuski,827.0,2009,1424,powiat,14,mazowieckie,1.0
329,071422537000,żuromiński,807.0,2009,1437,powiat,14,mazowieckie,1.0
330,071422611000,makowski,1065.0,2009,1411,powiat,14,mazowieckie,0.0
41,071422615000,ostrołęcki,2097.0,2009,1415,powiat,14,mazowieckie,1.0
42,071422616000,ostrowski,1218.0,2009,1416,powiat,14,mazowieckie,0.0
331,071422622000,przasnyski,1219.0,2009,1422,powiat,14,mazowieckie,1.0
332,071422635000,wyszkowski,876.0,2009,1435,powiat,14,mazowieckie,0.0
334,071422701000,białobrzeski,639.0,2009,1401,powiat,14,mazowieckie,0.0
335,071422707000,kozienicki,916.0,2009,1407,powiat,14,mazowieckie,2.0
336,071422709000,lipski,740.0,2009,1409,powiat,14,mazowieckie,0.0
337,071422723000,przysuski,801.0,2009,1423,powiat,14,mazowieckie,1.0
43,071422725000,radomski,1530.0,2009,1425,powiat,14,mazowieckie,2.0
338,071422736000,zwoleński,573.0,2009,1436,powiat,14,mazowieckie,2.0
339,071422763000,Radom,112.0,2009,1463,miasto na prawach powiatu,14,mazowieckie,3.0
340,071427004000,gostyniński,615.0,2009,1404,powiat,14,mazowieckie,0.0
44,071427019000,płocki,1796.0,2009,1419,powiat,14,mazowieckie,0.0
341,071427027000,sierpecki,852.0,2009,1427,powiat,14,mazowieckie,1.0
343,071427103000,garwoliński,1285.0,2009,1403,powiat,14,mazowieckie,1.0
344,071427110000,łosicki,772.0,2009,1410,powiat,14,mazowieckie,0.0
45,071427126000,siedlecki,1603.0,2009,1426,powiat,14,mazowieckie,1.0
345,071427129000,sokołowski,1131.0,2009,1429,powiat,14,mazowieckie,1.0
346,071427133000,węgrowski,1221.0,2009,1433,powiat,14,mazowieckie,2.0
347,071427328000,sochaczewski,735.0,2009,1428,powiat,14,mazowieckie,4.0
348,071427338000,żyrardowski,533.0,2009,1438,powiat,14,mazowieckie,2.0
